datum	Dela prost dan	Šolske Počitnice	pov	padavine	sneg
2012-08-01		1	25.1		
2012-08-02		1	26.3		
2012-08-03		1	26.0		
2012-08-04		1	26.6		
2012-08-05		1	27.9		
2012-08-06		1	27.5		
2012-08-07		1	24.8		
2012-08-08		1	23.7		
2012-08-09		1	21.2		
2012-08-10		1	21.5	0.0	
2012-08-11		1	17.8	0.0	
2012-08-12		1	19.2	0.1	d
2012-08-13		1	22.0		
2012-08-14		1	23.4		
2012-08-15	1	1	24.7		
2012-08-16		1	22.1		
2012-08-17		1	22.7	20.4	d
2012-08-18		1	24.2		
2012-08-19		1	24.5		
2012-08-20		1	24.7		
2012-08-21		1	25.7		
2012-08-22		1	28.5		
2012-08-23		1	24.5		
2012-08-24		1	27.3	2.3	d
2012-08-25		1	26.2		
2012-08-26		1	15.5		
2012-08-27		1	17.3	42.0	d
2012-08-28		1	20.2		
2012-08-29		1	21.4		
2012-08-30		1	22.5		
2012-08-31		1	17.4	1.5	d
2012-09-01			15.2	49.5	d
2012-09-02			18.5	22.5	d
2012-09-03			21.0	0.3	d
2012-09-04			22.3	0.2	d
2012-09-05			21.4		
2012-09-06			19.4	10.8	d
2012-09-07			17.8	0.1	d
2012-09-08			18.0		
2012-09-09			19.7		
2012-09-10			20.4		
2012-09-11			21.3		
2012-09-12			17.5		
2012-09-13			10.0	70.1	d
2012-09-14			13.5	9.2	d
2012-09-15			16.2		
2012-09-16			14.5	0.0	
2012-09-17			15.3		
2012-09-18			17.4		
2012-09-19			13.9		
2012-09-20			11.7	34.4	d
2012-09-21			13.2		
2012-09-22			14.1		
2012-09-23			15.5		
2012-09-24			17.5		
2012-09-25			18.0	19.6	d
2012-09-26			17.9	0.3	d
2012-09-27			19.5	2.0	d
2012-09-28			15.4	8.1	d
2012-09-29			17.8		
2012-09-30			16.4	0.2	d
2012-10-01			17.6	3.3	d
2012-10-02			15.7	0.1	d
2012-10-03			16.4	0.4	d
2012-10-04			16.2		
2012-10-05			15.9	0.0	
2012-10-06			16.4		
2012-10-07			15.1		
2012-10-08			11.3	8.6	d
2012-10-09			13.7	0.0	
2012-10-10			11.1	4.9	d
2012-10-11			10.9	1.5	d
2012-10-12			11.8	0.0	
2012-10-13			11.3	0.3	d
2012-10-14			12.2	4.5	d
2012-10-15			14.4	8.7	d
2012-10-16			13.0	52.9	d
2012-10-17			14.0	3.7	d
2012-10-18			14.2		
2012-10-19			14.3		
2012-10-20			12.0		
2012-10-21			12.5		
2012-10-22			11.8	0.0	
2012-10-23			10.8		
2012-10-24			9.2		
2012-10-25			9.0	0.0	
2012-10-26			9.7	0.0	
2012-10-27			12.2	50.4	d
2012-10-28			1.1	61.4	s
2012-10-29		1	2.1	22.0	s
2012-10-30		1	2.1	0.0	
2012-10-31	1	1	4.4	0.1	d
2012-11-01	1	1	6.0	13.8	d
2012-11-02		1	9.3	29.4	d
2012-11-03			11.4	0.2	d
2012-11-04			13.1	0.1	d
2012-11-05			12.2	14.6	d
2012-11-06			6.0	13.8	d
2012-11-07			5.8	7.1	s
2012-11-08			7.1		
2012-11-09			6.5		
2012-11-10			6.7		
2012-11-11			10.4	0.3	d
2012-11-12			12.6	3.9	d
2012-11-13			10.8	7.3	d
2012-11-14			8.4	0.6	d
2012-11-15			7.3		
2012-11-16			7.1		
2012-11-17			6.0		
2012-11-18			5.3		
2012-11-19			8.6	5.4	d
2012-11-20			8.9	0.0	
